AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CLL_body
30,-20,0,0,0.093212583
45,-20,0,0,0.062051905
-4,-20,0,10,0.02177282
0,-20,0,10,0.05324445
4,-20,0,10,0.086235823
8,-20,0,10,0.119725975
12,-20,0,10,0.15250117
16,-20,0,10,0.155735008
20,-20,0,10,0.153258463
30,-20,0,10,0.081018131
45,-20,0,10,0.065838777
-4,-20,0,20,0.022604243
0,-20,0,20,0.053515429
4,-20,0,20,0.085711072
8,-20,0,20,0.116614138
12,-20,0,20,0.146565314
16,-20,0,20,0.157367797
20,-20,0,20,0.163325495
30,-20,0,20,0.087025065
45,-20,0,20,0.06993379
-4,-20,0,-10,-0.007093062
0,-20,0,-10,0.026412968
4,-20,0,-10,0.05598697
8,-20,0,-10,0.087542434
12,-20,0,-10,0.118401758
16,-20,0,-10,0.137814416
20,-20,0,-10,0.149631516
30,-20,0,-10,0.066059469
45,-20,0,-10,0.063413325
-4,-20,0,-20,-0.010037578
0,-20,0,-20,0.020530214
4,-20,0,-20,0.053100095
8,-20,0,-20,0.086809073
12,-20,0,-20,0.123622335
16,-20,0,-20,0.149512963
20,-20,0,-20,0.145794547
30,-20,0,-20,0.05725532
45,-20,0,-20,0.060379781
-4,-20,10,0,0.000882177
0,-20,10,0,0.035631373
4,-20,10,0,0.066781486
8,-20,10,0,0.100729954
12,-20,10,0,0.133289457
16,-20,10,0,0.13734229
20,-20,10,0,0.142255183
30,-20,10,0,0.058932223
45,-20,10,0,0.061618012
-4,-20,10,10,0.010200878
0,-20,10,10,0.044982207
4,-20,10,10,0.076444427
8,-20,10,10,0.1092207
12,-20,10,10,0.142055949
16,-20,10,10,0.135283886
20,-20,10,10,0.138828546
30,-20,10,10,0.064735694
45,-20,10,10,0.064551647
-4,-20,10,20,0.015616533
0,-20,10,20,0.046797437
4,-20,10,20,0.079927613
8,-20,10,20,0.112907055
12,-20,10,20,0.151033776
16,-20,10,20,0.156174823
20,-20,10,20,0.145465267
30,-20,10,20,0.06930252
45,-20,10,20,0.064829919
-4,-20,10,-10,-0.004334792
0,-20,10,-10,0.027466446
4,-20,10,-10,0.061528111
8,-20,10,-10,0.097842388
12,-20,10,-10,0.136402728
16,-20,10,-10,0.162367606
20,-20,10,-10,0.128207985
30,-20,10,-10,0.051652145
45,-20,10,-10,0.057751887
-4,-20,10,-20,-0.010334676
0,-20,10,-20,0.020973683
4,-20,10,-20,0.054331055
8,-20,10,-20,0.089759692
12,-20,10,-20,0.1270908
16,-20,10,-20,0.153413966
20,-20,10,-20,0.14146899
30,-20,10,-20,0.046786605
45,-20,10,-20,0.056960753
-4,-20,20,0,-0.001071241
0,-20,20,0,0.038703887
4,-20,20,0,0.070886915
8,-20,20,0,0.106494729
12,-20,20,0,0.143310307
16,-20,20,0,0.159769436
20,-20,20,0,0.139963316
30,-20,20,0,0.061868117
45,-20,20,0,0.059341564
-4,-20,20,10,0.01373675
0,-20,20,10,0.050528209
4,-20,20,10,0.086818291
8,-20,20,10,0.125557872
12,-20,20,10,0.166046169
16,-20,20,10,0.194361624
20,-20,20,10,0.132768231
30,-20,20,10,0.066442081
45,-20,20,10,0.057232471
-4,-20,20,20,0.013825228
0,-20,20,20,0.049520489
4,-20,20,20,0.083044307
8,-20,20,20,0.121278175
12,-20,20,20,0.163457912
16,-20,20,20,0.194815885
20,-20,20,20,0.145352152
30,-20,20,20,0.063034577
45,-20,20,20,0.062500756
-4,-20,20,-10,-0.002890551
0,-20,20,-10,0.032444373
4,-20,20,-10,0.065869247
8,-20,20,-10,0.104016991
12,-20,20,-10,0.144937984
16,-20,20,-10,0.17165715
20,-20,20,-10,0.132463358
30,-20,20,-10,0.051313205
45,-20,20,-10,0.054747895
